level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	442	585	-1	
2	1	1	0	0	0	23	3	337	4	-1	
3	1	1	1	0	0	23	3	337	4	-1	
4	1	1	1	1	0	23	3	337	4	-1	
5	1	1	1	1	1	23	3	337	4	95.000000	 
2	1	2	0	0	0	260	128	3	222	-1	
3	1	2	1	0	0	260	128	3	222	-1	
4	1	2	1	1	0	260	128	3	222	-1	
5	1	2	1	1	1	260	128	3	222	95.000000	 
2	1	3	0	0	0	0	1	437	558	-1	
3	1	3	1	0	0	0	1	437	558	-1	
4	1	3	1	1	0	0	1	437	558	-1	
5	1	3	1	1	1	0	1	437	558	95.000000	 
2	1	4	0	0	0	9	578	424	3	-1	
3	1	4	1	0	0	9	578	424	3	-1	
4	1	4	1	1	0	9	578	424	3	-1	
5	1	4	1	1	1	9	578	424	3	95.000000	 
