level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1246	1648	-1	
2	1	1	0	0	0	21	9	1204	242	-1	
3	1	1	1	0	0	21	9	1204	242	-1	
4	1	1	1	1	0	21	9	1204	242	-1	
5	1	1	1	1	1	21	9	1204	242	95.000000	 
2	1	2	0	0	0	134	258	951	22	-1	
3	1	2	1	0	0	134	258	951	22	-1	
4	1	2	1	1	0	134	258	951	22	-1	
5	1	2	1	1	1	134	260	54	14	92.577301	Thanks
5	1	2	1	1	2	196	264	14	10	87.964294	to
5	1	2	1	1	3	218	259	21	14	91.079208	the
5	1	2	1	1	4	249	259	117	15	91.621742	Schachenmayr
5	1	2	1	1	5	373	260	76	17	92.006638	Company
5	1	2	1	1	6	456	260	21	13	92.888832	for
5	1	2	1	1	7	484	258	37	15	87.031464	their
5	1	2	1	1	8	528	258	54	19	87.031464	helpful
5	1	2	1	1	9	589	263	59	14	92.163773	support
5	1	2	1	1	10	654	258	17	15	92.653687	of
5	1	2	1	1	11	676	258	28	15	92.653687	this
5	1	2	1	1	12	711	258	43	17	85.909668	book,
5	1	2	1	1	13	761	259	29	15	91.173042	and
5	1	2	1	1	14	797	259	21	14	93.094261	for
5	1	2	1	1	15	824	259	64	19	90.546211	working
5	1	2	1	1	16	894	259	25	16	88.695297	the
5	1	2	1	1	17	925	259	56	16	91.864708	clothes
5	1	2	1	1	18	988	260	28	15	91.241631	and
5	1	2	1	1	19	1023	260	62	20	90.811317	knitting
2	1	3	0	0	0	129	282	597	20	-1	
3	1	3	1	0	0	129	282	597	20	-1	
4	1	3	1	1	0	129	282	597	20	-1	
5	1	3	1	1	1	129	288	68	14	88.724998	patterns.
5	1	3	1	1	2	209	283	27	14	92.886215	The
5	1	3	1	1	3	243	283	56	17	90.704140	designs
5	1	3	1	1	4	306	288	23	9	92.898178	are
5	1	3	1	1	5	337	282	14	15	92.890450	by
5	1	3	1	1	6	361	282	71	15	91.648346	Elisabeth
5	1	3	1	1	7	440	282	41	18	89.700485	Kopff
5	1	3	1	1	8	490	283	20	16	93.297653	(1)
5	1	3	1	1	9	519	282	28	15	91.190704	and
5	1	3	1	1	10	555	282	60	15	91.190704	Barbara
5	1	3	1	1	11	623	282	69	15	93.032318	Schreyer
5	1	3	1	1	12	700	283	26	16	92.663620	(4).
2	1	4	0	0	0	128	330	483	66	-1	
3	1	4	1	0	0	128	330	483	66	-1	
4	1	4	1	1	0	129	330	273	18	-1	
5	1	4	1	1	1	129	332	73	15	90.813934	Drawings:
5	1	4	1	1	2	215	330	44	18	88.766312	Sigrid
5	1	4	1	1	3	267	331	53	17	91.295105	Witzig,
5	1	4	1	1	4	329	330	73	18	92.269508	Hamburg
4	1	4	1	2	0	128	354	192	18	-1	
5	1	4	1	2	1	128	359	45	11	91.884933	Cover
5	1	4	1	2	2	182	355	49	17	92.842461	design:
5	1	4	1	2	3	245	354	34	15	91.267212	Dirk
5	1	4	1	2	4	287	354	33	15	93.101852	Lieb
4	1	4	1	3	0	133	377	478	19	-1	
5	1	4	1	3	1	133	379	84	14	87.308296	Translation:
5	1	4	1	3	2	230	378	39	15	92.710640	Ellen
5	1	4	1	3	3	277	378	154	15	91.266159	Riemschnieder—in
5	1	4	1	3	4	439	378	48	17	92.849861	loving
5	1	4	1	3	5	494	383	61	13	91.569359	memory
5	1	4	1	3	6	564	380	14	12	92.450668	of
5	1	4	1	3	7	579	377	32	19	92.450668	Jim
2	1	5	0	0	0	127	659	437	20	-1	
3	1	5	1	0	0	127	659	437	20	-1	
4	1	5	1	1	0	127	659	437	20	-1	
5	1	5	1	1	1	127	661	57	14	93.022598	Library
5	1	5	1	1	2	194	660	16	15	91.521790	of
5	1	5	1	1	3	216	660	76	19	92.006287	Congress
5	1	5	1	1	4	300	659	217	19	88.870605	Cataloging-in-Publication
5	1	5	1	1	5	525	660	39	15	93.249214	Data
2	1	6	0	0	0	128	709	347	186	-1	
3	1	6	1	0	0	128	709	347	138	-1	
4	1	6	1	1	0	128	709	129	15	-1	
5	1	6	1	1	1	128	710	38	14	92.743462	Buss,
5	1	6	1	1	2	174	709	83	15	91.797707	Katharina.
4	1	6	1	2	0	153	733	251	18	-1	
5	1	6	1	2	1	153	733	179	18	91.684555	[Urania-Ravensburger.
5	1	6	1	2	2	341	733	63	18	87.741196	English]
